loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,verification_status
4500,36 months,14.54,10.0,MORTGAGE,21216.0,debt_consolidation,FL,20.87,0.0,31.200000000000003,22.0,1,14.0,verified
5000,36 months,13.11,5.0,RENT,25000.0,credit_card,WI,10.94,0.0,38.40000000000001,23.0,0,10.0,not verified
8000,36 months,11.14,10.0,MORTGAGE,70000.0,debt_consolidation,AR,13.1,0.0,60.7,32.0,0,12.0,not verified
9000,36 months,16.0,4.0,MORTGAGE,87000.0,credit_card,TX,10.86,0.0,86.30000000000001,19.0,0,16.0,not verified
6800,36 months,18.64,4.0,RENT,32000.0,other,NY,19.54,0.0,89.30000000000001,4.0,1,4.0,verified
7575,36 months,12.35,4.0,OWN,28500.0,debt_consolidation,NC,29.77,0.0,93.1,23.0,1,11.0,verified
4000,36 months,11.67,10.0,MORTGAGE,84275.0,credit_card,TX,12.69,0.0,58.7,11.0,0,16.0,not verified
20000,60 months,23.700000000000003,7.0,MORTGAGE,70000.0,debt_consolidation,MI,22.27,1.0,57.3,44.0,0,17.0,verified
6250,60 months,9.99,6.0,MORTGAGE,36240.0,debt_consolidation,MI,1.24,0.0,37.1,32.0,0,17.0,not verified
2000,36 months,14.79,6.0,RENT,67000.0,debt_consolidation,VA,15.92,0.0,90.8,24.0,0,11.0,verified
10800,36 months,7.51,10.0,RENT,75000.0,debt_consolidation,OK,16.59,0.0,59.2,24.0,1,23.0,verified
16000,60 months,9.71,9.0,RENT,37000.0,debt_consolidation,CA,26.46,0.0,35.5,30.0,1,19.0,verified
30000,36 months,9.91,9.0,MORTGAGE,144000.0,debt_consolidation,CT,22.62,0.0,28.9,35.0,0,15.0,verified
11650,60 months,14.64,3.0,RENT,55000.0,car,NJ,29.65,0.0,27.1,31.0,0,6.0,not verified
18000,36 months,10.64,6.0,RENT,58000.0,debt_consolidation,IL,13.08,0.0,51.7,12.0,0,13.0,not verified
22000,60 months,15.61,2.0,MORTGAGE,64000.0,debt_consolidation,AL,16.91,0.0,91.1,17.0,1,10.0,not verified
8975,36 months,11.14,10.0,MORTGAGE,67516.0,home_improvement,CA,9.94,0.0,15.2,21.0,0,8.0,not verified
8450,36 months,15.8,8.0,RENT,24900.0,debt_consolidation,NC,22.84,0.0,54.7,32.0,1,14.0,not verified
12000,60 months,20.200000000000003,0.0,RENT,36000.0,debt_consolidation,CA,26.5,2.0,42.2,35.0,1,12.0,verified
30225,36 months,16.29,9.0,MORTGAGE,67500.0,debt_consolidation,FL,12.71,0.0,51.5,16.0,1,15.0,verified
3875,36 months,15.31,2.0,RENT,45000.0,debt_consolidation,CA,17.77,0.0,96.6,19.0,0,13.0,not verified
3600,36 months,19.05,1.0,RENT,63995.0,credit_card,CA,13.29,1.0,70.3,33.0,0,14.0,verified
7925,36 months,19.52,6.0,RENT,54000.0,medical,KS,26.73,0.0,64.60000000000001,26.0,1,11.0,verified
9950,36 months,15.31,6.0,RENT,72000.0,debt_consolidation,CA,15.88,1.0,75.10000000000001,24.0,0,17.0,not verified
20000,36 months,7.69,3.0,RENT,96760.0,other,GA,0.64,0.0,3.4000000000000004,30.0,0,9.0,verified
16800,60 months,13.11,9.0,MORTGAGE,70000.0,debt_consolidation,FL,15.98,0.0,27.3,27.0,1,21.0,verified
5000,36 months,7.1400000000000015,,MORTGAGE,60000.0,other,WV,20.74,0.0,57.8,21.0,0,38.0,not verified
16000,60 months,14.47,3.0,MORTGAGE,180000.0,credit_card,VA,12.85,1.0,95.0,31.0,0,29.0,verified
7000,36 months,9.32,3.0,RENT,37000.0,credit_card,FL,23.42,0.0,52.900000000000006,40.0,0,13.0,not verified
17325,36 months,6.03,4.0,MORTGAGE,125000.0,home_improvement,NY,8.27,0.0,11.7,34.0,0,18.0,verified
17000,36 months,11.55,10.0,MORTGAGE,92000.0,debt_consolidation,TX,9.65,1.0,39.40000000000001,19.0,0,8.0,verified
4000,36 months,13.98,4.0,RENT,42000.0,debt_consolidation,MO,13.51,1.0,30.9,16.0,1,4.0,not verified
17500,36 months,12.53,3.0,RENT,37232.0,credit_card,CA,20.85,0.0,78.60000000000001,21.0,0,13.0,not verified
18225,36 months,11.99,4.0,MORTGAGE,55000.0,debt_consolidation,GA,11.34,0.0,49.0,8.0,0,3.0,verified
15000,36 months,14.83,10.0,RENT,88000.0,debt_consolidation,NY,17.32,1.0,4.8500000000000005,22.0,0,56.0,verified
35000,36 months,11.99,5.0,MORTGAGE,175000.0,home_improvement,SC,4.93,0.0,19.3,28.0,0,14.0,verified
30750,60 months,16.990000000000002,,MORTGAGE,67909.68000000001,debt_consolidation,WA,23.13,0.0,43.2,30.0,0,50.0,verified
5500,36 months,6.62,5.0,MORTGAGE,45000.0,small_business,OR,23.12,0.0,27.4,12.0,1,6.0,verified
12000,60 months,16.240000000000002,3.0,RENT,55000.0,credit_card,CA,18.61,0.0,34.0,37.0,0,21.0,verified
32875,36 months,11.14,10.0,MORTGAGE,110000.0,home_improvement,WV,22.99,0.0,40.0,33.0,0,12.0,verified
22000,60 months,18.92,0.0,MORTGAGE,50000.0,medical,FL,18.07,0.0,8.1,24.0,1,16.0,verified
23200,36 months,6.03,1.0,RENT,90000.0,credit_card,MA,24.18,0.0,61.40000000000001,29.0,0,15.0,verified
20000,60 months,24.200000000000003,,RENT,69000.0,debt_consolidation,CO,22.03,0.0,96.5,27.0,1,9.0,verified
10050,36 months,17.76,4.0,MORTGAGE,40000.0,other,CA,16.17,1.0,48.3,25.0,1,8.0,verified
7200,36 months,12.36,6.0,RENT,17280.0,other,NY,4.58,0.0,0.0,3.0,0,11.0,not verified
18000,36 months,14.33,10.0,OWN,45000.0,debt_consolidation,CA,19.47,0.0,51.1,32.0,0,11.0,not verified
28000,36 months,8.39,10.0,RENT,230000.0,debt_consolidation,OR,8.370000000000001,0.0,25.6,26.0,0,19.0,verified
12000,60 months,15.1,2.0,MORTGAGE,43000.0,debt_consolidation,FL,19.05,0.0,64.60000000000001,28.0,1,12.0,verified
19850,36 months,14.09,10.0,RENT,68000.0,debt_consolidation,MA,11.86,0.0,59.40000000000001,15.0,0,10.0,not verified
3600,36 months,15.61,5.0,MORTGAGE,73000.0,debt_consolidation,CO,13.97,0.0,45.5,28.0,0,22.0,verified
11950,60 months,16.29,2.0,MORTGAGE,104000.0,credit_card,CA,7.74,0.0,42.8,16.0,1,8.0,not verified
9600,36 months,13.53,3.0,MORTGAGE,64000.0,other,MA,13.22,0.0,46.3,27.0,0,12.0,verified
13000,36 months,11.99,5.0,RENT,70000.0,debt_consolidation,MN,7.59,0.0,47.5,26.0,0,11.0,verified
8000,36 months,10.99,,OWN,18500.0,debt_consolidation,NJ,31.08,0.0,11.9,26.0,0,30.0,verified
11200,36 months,14.33,0.0,RENT,65000.0,debt_consolidation,OR,17.52,0.0,95.7,36.0,0,9.0,verified
8000,36 months,13.98,10.0,OWN,75376.0,home_improvement,CA,12.69,0.0,42.0,46.0,0,16.0,verified
12000,36 months,14.65,10.0,OWN,44351.0,debt_consolidation,VA,14.02,2.0,66.60000000000001,31.0,0,17.0,verified
6000,36 months,11.28,4.0,RENT,63500.0,debt_consolidation,CA,14.68,0.0,38.6,30.0,1,13.0,verified
21000,36 months,8.9,0.0,OWN,200000.0,credit_card,CA,21.55,0.0,63.1,26.0,1,15.0,verified
12000,36 months,13.99,2.0,RENT,85000.0,credit_card,FL,21.67,0.0,86.2,27.0,0,12.0,not verified
21000,36 months,7.9,1.0,RENT,300000.0,debt_consolidation,CA,8.63,0.0,66.60000000000001,22.0,0,28.0,verified
10000,36 months,7.62,6.0,MORTGAGE,93500.0,debt_consolidation,FL,12.95,0.0,40.7,28.0,0,11.0,not verified
16800,60 months,17.77,8.0,MORTGAGE,100000.0,debt_consolidation,FL,20.95,0.0,84.4,28.0,0,30.0,verified
20000,36 months,9.25,9.0,MORTGAGE,50000.0,debt_consolidation,NV,14.35,0.0,52.40000000000001,28.0,0,17.0,verified
16000,36 months,14.54,10.0,MORTGAGE,55530.0,debt_consolidation,CA,12.99,0.0,82.4,11.0,1,15.0,verified
15850,36 months,13.53,3.0,MORTGAGE,45000.0,debt_consolidation,FL,33.63,0.0,36.4,23.0,1,9.0,verified
1000,36 months,24.5,2.0,OWN,42000.0,vacation,TX,15.4,0.0,31.700000000000006,5.0,1,3.0,not verified
25000,36 months,15.58,2.0,MORTGAGE,50000.0,debt_consolidation,IL,15.36,0.0,59.2,27.0,0,9.0,verified
18000,36 months,19.05,8.0,MORTGAGE,45000.0,credit_card,CA,11.2,0.0,69.60000000000001,8.0,1,5.0,not verified
12000,36 months,8.9,6.0,OWN,135000.0,debt_consolidation,FL,8.85,0.0,32.5,24.0,0,15.0,verified
4350,36 months,6.62,10.0,MORTGAGE,29000.0,home_improvement,NY,5.79,2.0,0.1,23.0,0,10.0,not verified
4000,36 months,10.74,5.0,MORTGAGE,42000.0,major_purchase,VA,0.91,1.0,1.3,6.0,0,15.0,verified
12000,60 months,21.700000000000003,8.0,RENT,60000.0,debt_consolidation,CA,6.22,1.0,85.9,20.0,0,11.0,verified
6125,36 months,12.12,10.0,MORTGAGE,34000.0,credit_card,UT,10.76,1.0,35.300000000000004,16.0,1,10.0,verified
19500,60 months,13.49,10.0,MORTGAGE,57600.0,home_improvement,NV,16.900000000000002,0.0,27.1,27.0,1,12.0,verified
3500,36 months,21.6,9.0,MORTGAGE,60000.0,other,PA,24.6,0.0,49.7,11.0,0,9.0,verified
8000,36 months,13.99,1.0,RENT,52000.0,credit_card,CA,15.88,0.0,90.3,47.0,0,11.0,verified
10000,36 months,9.17,10.0,MORTGAGE,70000.0,debt_consolidation,GA,7.66,0.0,86.80000000000001,40.0,0,25.0,not verified
20750,36 months,11.14,1.0,MORTGAGE,55000.0,debt_consolidation,IL,25.18,0.0,78.9,29.0,0,30.0,verified
15000,36 months,19.05,5.0,RENT,95000.0,moving,LA,12.18,1.0,64.0,31.0,0,12.0,not verified
14000,36 months,10.99,10.0,MORTGAGE,55000.0,debt_consolidation,UT,12.4,0.0,21.200000000000006,22.0,0,14.0,not verified
26650,60 months,22.15,10.0,OWN,58000.0,home_improvement,MS,3.04,0.0,81.60000000000001,11.0,1,18.0,verified
12000,60 months,14.31,6.0,OWN,52000.0,debt_consolidation,NM,25.97,0.0,53.2,16.0,0,6.0,verified
35000,60 months,21.0,10.0,MORTGAGE,170000.0,debt_consolidation,UT,19.200000000000003,1.0,44.3,54.0,0,31.0,verified
9800,36 months,12.12,2.0,RENT,97000.0,moving,TX,5.23,0.0,65.9,11.0,0,11.0,not verified
10000,36 months,11.14,10.0,MORTGAGE,34212.0,credit_card,PA,14.94,0.0,45.0,12.0,0,36.0,not verified
15000,36 months,11.99,2.0,RENT,156400.0,debt_consolidation,WA,8.200000000000001,0.0,73.2,23.0,0,22.0,verified
21200,36 months,11.14,3.0,MORTGAGE,47380.0,credit_card,TX,18.44,0.0,56.40000000000001,20.0,0,21.0,verified
16000,36 months,12.69,2.0,RENT,78400.0,debt_consolidation,CA,7.800000000000001,0.0,53.2,22.0,0,12.0,not verified
5500,36 months,11.71,1.0,RENT,33600.0,credit_card,SC,8.93,0.0,69.10000000000001,15.0,0,6.0,not verified
12625,36 months,14.49,10.0,RENT,44000.0,debt_consolidation,RI,15.17,0.0,36.0,14.0,0,14.0,verified
9000,36 months,14.09,2.0,RENT,37500.0,debt_consolidation,FL,18.11,0.0,33.800000000000004,34.0,1,6.0,not verified
12000,60 months,13.11,10.0,MORTGAGE,75000.0,debt_consolidation,TX,24.32,0.0,51.1,28.0,0,12.0,verified
16800,36 months,7.51,4.0,OWN,69500.0,debt_consolidation,CT,22.8,0.0,15.4,27.0,0,14.0,verified
10000,60 months,23.5,3.0,MORTGAGE,42122.0,debt_consolidation,CT,20.37,0.0,63.6,25.0,0,23.0,verified
5000,36 months,12.99,10.0,MORTGAGE,66000.0,debt_consolidation,WV,10.18,0.0,40.8,37.0,0,18.0,not verified
6000,36 months,6.03,6.0,MORTGAGE,70000.0,home_improvement,PA,2.54,0.0,19.5,24.0,0,13.0,not verified
16000,36 months,14.65,4.0,RENT,44000.0,debt_consolidation,NC,20.15,0.0,60.8,32.0,0,10.0,verified
32350,36 months,12.12,10.0,RENT,65000.0,debt_consolidation,CA,28.22,0.0,57.0,32.0,0,18.0,verified
17000,36 months,12.99,10.0,MORTGAGE,160000.0,debt_consolidation,VA,10.41,1.0,56.5,35.0,0,17.0,verified
10000,36 months,7.9,0.0,RENT,48000.0,debt_consolidation,NJ,11.73,0.0,78.7,22.0,1,17.0,not verified
29600,60 months,13.49,,OWN,56948.0,small_business,NC,15.47,0.0,51.1,14.0,0,16.0,verified
35000,36 months,17.27,5.0,RENT,225000.0,debt_consolidation,MO,4.01,0.0,35.9,13.0,0,8.0,verified
22400,60 months,12.49,5.0,MORTGAGE,80000.0,debt_consolidation,VA,17.95,1.0,53.0,27.0,0,45.0,verified
35000,60 months,13.8,2.0,MORTGAGE,183456.0,home_improvement,FL,6.8900000000000015,0.0,2.1,48.0,0,16.0,verified
6400,36 months,16.29,5.0,MORTGAGE,61000.0,debt_consolidation,CA,7.81,0.0,63.0,16.0,0,9.0,verified
6500,36 months,8.32,2.0,RENT,31000.0,car,PA,4.26,0.0,27.200000000000003,11.0,0,5.0,verified
35000,60 months,19.52,10.0,MORTGAGE,650000.0,home_improvement,MA,7.1400000000000015,0.0,87.10000000000001,42.0,0,24.0,verified
16750,36 months,12.53,4.0,MORTGAGE,60000.0,home_improvement,FL,8.56,0.0,38.1,15.0,0,18.0,verified
8000,36 months,6.62,3.0,MORTGAGE,87800.0,home_improvement,TX,17.7,0.0,50.6,44.0,0,14.0,not verified
20000,60 months,19.05,10.0,RENT,55000.0,debt_consolidation,AZ,17.96,0.0,33.800000000000004,42.0,1,18.0,verified
15000,36 months,14.83,0.0,RENT,61000.0,debt_consolidation,CA,11.92,0.0,86.60000000000001,12.0,0,11.0,not verified
32000,36 months,7.9,10.0,MORTGAGE,72000.0,home_improvement,OH,19.68,0.0,54.5,37.0,0,33.0,verified
15875,36 months,13.11,6.0,MORTGAGE,36000.0,debt_consolidation,WI,23.03,0.0,72.60000000000001,25.0,1,12.0,verified
35000,36 months,20.49,1.0,RENT,92000.0,debt_consolidation,CA,9.59,0.0,84.2,9.0,0,12.0,verified
29000,60 months,19.200000000000003,9.0,MORTGAGE,99000.0,debt_consolidation,CA,33.81,0.0,79.4,42.0,1,11.0,verified
17000,36 months,10.99,3.0,MORTGAGE,92500.0,debt_consolidation,TX,19.78,1.0,60.0,17.0,0,19.0,not verified
20000,36 months,14.33,9.0,RENT,105000.0,debt_consolidation,NY,13.52,0.0,76.5,35.0,0,17.0,verified
15500,60 months,17.27,2.0,RENT,70000.0,other,NY,10.27,0.0,49.7,24.0,0,7.0,verified
35000,36 months,14.49,9.0,RENT,102765.0,debt_consolidation,CA,21.51,0.0,80.2,21.0,0,34.0,verified
1975,36 months,10.16,3.0,MORTGAGE,82400.0,major_purchase,TX,8.84,4.0,51.2,18.0,0,17.0,verified
14000,60 months,15.27,0.0,RENT,42000.0,debt_consolidation,PA,21.91,0.0,18.1,26.0,0,8.0,verified
35000,36 months,14.33,2.0,MORTGAGE,130000.0,credit_card,HI,20.51,0.0,91.5,36.0,1,15.0,verified
24000,36 months,7.69,10.0,MORTGAGE,74000.0,credit_card,MI,20.66,0.0,24.0,40.0,0,27.0,verified
8000,36 months,13.72,10.0,MORTGAGE,55000.0,car,CA,12.92,2.0,70.5,21.0,0,26.0,verified
10000,60 months,17.14,6.0,OWN,54000.0,debt_consolidation,NJ,2.22,0.0,5.0,29.0,0,8.0,verified
10675,36 months,16.29,1.0,RENT,37000.0,debt_consolidation,IN,32.6,0.0,47.5,21.0,1,18.0,verified
7000,36 months,16.29,1.0,MORTGAGE,36000.0,debt_consolidation,AZ,23.03,1.0,60.0,30.0,1,15.0,verified
10800,36 months,7.69,5.0,MORTGAGE,65000.0,debt_consolidation,IL,21.96,0.0,46.5,25.0,0,14.0,not verified
12000,36 months,14.09,7.0,RENT,40000.0,debt_consolidation,NY,28.28,0.0,55.1,10.0,0,13.0,not verified
20000,36 months,15.81,9.0,OWN,67000.0,other,CA,18.34,0.0,82.10000000000001,18.0,0,11.0,verified
21850,36 months,6.03,5.0,RENT,80000.0,major_purchase,MD,7.78,1.0,6.6000000000000005,17.0,0,6.0,not verified
19725,60 months,13.68,10.0,MORTGAGE,80000.0,debt_consolidation,SD,5.4,0.0,71.2,41.0,0,18.0,verified
4000,36 months,14.35,0.0,RENT,63500.0,other,GA,19.5,1.0,11.4,24.0,0,8.0,verified
20000,60 months,19.72,10.0,MORTGAGE,85000.0,debt_consolidation,MI,29.14,0.0,46.2,61.0,0,14.0,verified
2000,36 months,7.9,2.0,RENT,55000.0,debt_consolidation,CA,1.92,0.0,5.0,9.0,0,25.0,verified
12000,36 months,12.69,4.0,MORTGAGE,32000.0,debt_consolidation,FL,10.39,0.0,53.400000000000006,16.0,1,13.0,verified
15275,60 months,22.15,8.0,MORTGAGE,45000.0,debt_consolidation,TN,27.52,0.0,92.4,27.0,1,13.0,verified
4350,36 months,16.29,0.0,RENT,20000.0,credit_card,FL,20.700000000000003,0.0,90.5,15.0,0,4.0,not verified
25000,36 months,13.11,3.0,RENT,65000.0,debt_consolidation,NY,11.77,0.0,80.9,22.0,0,9.0,verified
11000,36 months,10.0,2.0,MORTGAGE,140000.0,credit_card,NY,11.49,0.0,54.8,33.0,0,13.0,verified
5000,36 months,8.9,6.0,MORTGAGE,90000.0,credit_card,LA,25.17,0.0,80.60000000000001,48.0,0,18.0,verified
3800,36 months,6.62,2.0,MORTGAGE,27000.0,other,OR,17.29,0.0,21.4,29.0,0,11.0,not verified
7500,36 months,12.18,7.0,RENT,67000.0,house,CA,4.66,0.0,17.8,11.0,0,5.0,verified
17475,60 months,17.77,2.0,OWN,39625.08,debt_consolidation,CO,18.11,0.0,94.3,15.0,0,13.0,verified
15000,36 months,12.12,2.0,MORTGAGE,80000.0,debt_consolidation,NH,19.44,0.0,95.6,28.0,0,16.0,verified
12000,60 months,8.9,9.0,MORTGAGE,45000.0,home_improvement,MN,19.95,0.0,7.9,18.0,1,9.0,verified
5600,36 months,11.14,10.0,RENT,66400.0,vacation,CA,17.42,0.0,24.3,35.0,0,13.0,not verified
10000,36 months,12.99,10.0,MORTGAGE,85000.0,small_business,SC,23.76,1.0,24.700000000000003,33.0,0,26.0,verified
5500,36 months,14.09,1.0,MORTGAGE,35000.0,credit_card,NV,14.71,0.0,38.5,44.0,0,14.0,verified
10000,36 months,13.11,2.0,RENT,26000.0,credit_card,CA,10.2,0.0,74.2,13.0,0,8.0,verified
10000,36 months,9.99,10.0,OWN,48000.0,debt_consolidation,CA,20.13,0.0,68.60000000000001,10.0,0,12.0,verified
